model,response
gemini-2.0-flash-exp,Error with Google: 429 Resource has been exhausted (e.g. check quota).
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, TunnelBear, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access."
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, Surfshark, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, IPVanish"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access."
gemini-2.0-flash-exp,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, ProtonVPN, Surfshark, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, ProtonVPN, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, ProtonVPN, TunnelBear"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, ProtonVPN, TunnelBear"
deepseek-v3,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, CyberGhost, TunnelBear"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, IPVanish."
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, ProtonVPN, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, CyberGhost, TunnelBear"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, IPVanish"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Proton VPN, Surfshark, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, Surfshark, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, Surfshark, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, ProtonVPN, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, TunnelBear, Surfshark"
deepseek-v3,"ExpressVPN,NordVPN,Surfshark,CyberGhost,Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, Surfshark, TunnelBear"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, ProtonVPN"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, ProtonVPN, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access (PIA)"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, Surfshark, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, CyberGhost, Surfshark, ProtonVPN"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, ProtonVPN"
gemini-2.0-flash-exp,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, TunnelBear, Surfshark"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access (PIA)"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, ProtonVPN, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, ProtonVPN, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, ProtonVPN"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, ProtonVPN, CyberGhost"
deepseek-v3,"ExpressVPN, NordVPN, Surfshark, CyberGhost, IPVanish"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, CyberGhost, Surfshark"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, IPVanish"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, Surfshark, TunnelBear"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, IPVanish."
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, ProtonVPN, Surfshark, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, Surfshark, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Proton VPN, Surfshark, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, CyberGhost, TunnelBear"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, TunnelBear, Surfshark"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access (PIA)"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, ProtonVPN"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, IPVanish"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, ProtonVPN, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, ProtonVPN, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, Surfshark, TunnelBear"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, ProtonVPN"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, Surfshark, TunnelBear"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access."
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, TunnelBear, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, ProtonVPN, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, IPVanish"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, ProtonVPN, TunnelBear"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, Surfshark, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, Surfshark, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, ProtonVPN"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, Surfshark, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, TunnelBear, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, IPVanish"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, ProtonVPN, Surfshark, CyberGhost"
deepseek-v3,"ExpressVPN, NordVPN, Surfshark, CyberGhost, IPVanish"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, ProtonVPN, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access."
