model,response
deepseek-v3,"NordVPN,ExpressVPN,Surfshark,CyberGhost,Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, CyberGhost, Surfshark, ProtonVPN"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, PrivateInternetAccess, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN,ExpressVPN,CyberGhost,Surfshark,Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, PrivateInternetAccess"
deepseek-v3,"ExpressVPN,NordVPN,Surfshark,CyberGhost,Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN,ExpressVPN,CyberGhost,Surfshark,Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, CyberGhost, PrivateInternetAccess, Surfshark"
deepseek-v3,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, CyberGhost, PrivateInternetAccess, TunnelBear"
deepseek-v3,"ExpressVPN,NordVPN,Surfshark,CyberGhost,IPVanish"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, CyberGhost, Surfshark, HideMyAss"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, CyberGhost, PrivateInternetAccess, HideMyAss"
deepseek-v3,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, CyberGhost, Surfshark, PrivateInternetAccess"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, CyberGhost, Surfshark, PrivateInternetAccess"
deepseek-v3,"ExpressVPN,NordVPN,Surfshark,CyberGhost,Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN,ExpressVPN,CyberGhost,Surfshark,PIA"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, CyberGhost, PureVPN, Surfshark"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, Private Internet Access, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN,ExpressVPN,CyberGhost,Surfshark,Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, PrivateInternetAccess, CyberGhost"
deepseek-v3,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, ProtonVPN, Surfshark"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, CyberGhost, Surfshark, PrivateInternetAccess"
deepseek-v3,"ExpressVPN, NordVPN, CyberGhost, Surfshark, IPVanish"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN,ExpressVPN,CyberGhost,Surfshark,Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, PrivateInternetAccess"
deepseek-v3,"ExpressVPN, NordVPN, CyberGhost, Surfshark, IPVanish"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN,ExpressVPN,CyberGhost,Surfshark,Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, CyberGhost, PrivateInternetAccess, ProtonVPN"
deepseek-v3,"ExpressVPN, NordVPN, Surfshark, CyberGhost, IPVanish"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, CyberGhost, PrivateInternetAccess, HideMyAss"
deepseek-v3,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, PureVPN"
gemini-2.0-flash-exp,"NordVPN,ExpressVPN,CyberGhost,Surfshark,Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, ProtonVPN, Surfshark"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, PrivateInternetAccess"
deepseek-v3,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, CyberGhost, Surfshark, IPVanish"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, PrivateInternetAccess"
deepseek-v3,"NordVPN,ExpressVPN,Surfshark,CyberGhost,Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, PureVPN"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, PureVPN, ProtonVPN"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, PrivateInternetAccess"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, IPVanish"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, PrivateInternetAccess"
deepseek-v3,"NordVPN,ExpressVPN,Surfshark,CyberGhost,IPVanish"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, ProtonVPN, Surfshark"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, PrivateInternetAccess, IPVanish, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, ProtonVPN"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, Private Internet Access, CyberGhost"
deepseek-v3,"ExpressVPN,NordVPN,CyberGhost,Surfshark,Private Internet Access"
chatgpt-4o-latest,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN,ExpressVPN,CyberGhost,Surfshark,Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, CyberGhost, PrivateInternetAccess, ProtonVPN"
deepseek-v3,"ExpressVPN,NordVPN,CyberGhost,Surfshark,VyprVPN"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN,ExpressVPN,CyberGhost,Surfshark,Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, CyberGhost, Private Internet Access, HideMyAss"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN"
chatgpt-4o-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, ProtonVPN"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, Private Internet Access, IPVanish"
deepseek-v3,"ExpressVPN,NordVPN,CyberGhost,Surfshark,Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, PrivateInternetAccess, Surfshark, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, CyberGhost, Surfshark, IPVanish"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, PrivateInternetAccess"
deepseek-v3,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN,ExpressVPN,CyberGhost,Surfshark,Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, PrivateInternetAccess"
deepseek-v3,"NordVPN,ExpressVPN,CyberGhost,Surfshark,Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN,ExpressVPN,CyberGhost,Surfshark,Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, CyberGhost, PrivateInternetAccess, HideMyAss"
deepseek-v3,"ExpressVPN,NordVPN,CyberGhost,Surfshark,Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN,ExpressVPN,CyberGhost,Surfshark,Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, Private Internet Access, Surfshark"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, PrivateInternetAccess, CyberGhost, IPVanish"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN,ExpressVPN,CyberGhost,Surfshark,Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, ProtonVPN, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, CyberGhost, Private Internet Access, Surfshark"
deepseek-v3,"NordVPN,ExpressVPN,Surfshark,CyberGhost,IPVanish"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, CyberGhost, Surfshark, PureVPN"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, PrivateInternetAccess"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, CyberGhost, Surfshark, PureVPN"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, PrivateInternetAccess"
deepseek-v3,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, PrivateInternetAccess"
deepseek-v3,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, PrivateInternetAccess"
deepseek-v3,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, PureVPN"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, CyberGhost, Private Internet Access, TunnelBear"
deepseek-v3,"NordVPN, ExpressVPN, CyberGhost, Surfshark, IPVanish"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, CyberGhost, Surfshark, PrivateInternetAccess"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, IPVanish"
chatgpt-4o-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, ProtonVPN, Surfshark"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, PrivateInternetAccess"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN,ExpressVPN,CyberGhost,Surfshark,Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, PrivateInternetAccess, CyberGhost"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, IPVanish"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN,ExpressVPN,CyberGhost,Surfshark,Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, CyberGhost, ProtonVPN, Surfshark"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, PrivateInternetAccess"
deepseek-v3,"NordVPN,ExpressVPN,Surfshark,CyberGhost,Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, PrivateInternetAccess, IPVanish, HideMyAss"
deepseek-v3,"NordVPN,ExpressVPN,Surfshark,CyberGhost,Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN,ExpressVPN,CyberGhost,Surfshark,Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Private Internet Access, IPVanish, CyberGhost"
deepseek-v3,"NordVPN,ExpressVPN,Surfshark,CyberGhost,Private Internet Access"
chatgpt-4o-latest,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, CyberGhost, PrivateInternetAccess"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN,ExpressVPN,CyberGhost,Surfshark,Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, CyberGhost, PrivateInternetAccess, Surfshark"
deepseek-v3,"ExpressVPN,NordVPN,Surfshark,CyberGhost,Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN,ExpressVPN,CyberGhost,Surfshark,Private Internet Access"
claude-3-5-sonnet-latest,"NordVPN, ExpressVPN, CyberGhost, Surfshark, ProtonVPN"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, Surfshark, Private Internet Access, CyberGhost"
deepseek-v3,"ExpressVPN, NordVPN, Surfshark, CyberGhost, PureVPN"
chatgpt-4o-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, CyberGhost, PrivateInternetAccess, Surfshark"
deepseek-v3,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access"
chatgpt-4o-latest,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access"
gemini-2.0-flash-exp,"NordVPN,ExpressVPN,CyberGhost,Surfshark,Private Internet Access"
claude-3-5-sonnet-latest,"ExpressVPN, NordVPN, CyberGhost, ProtonVPN, Surfshark"
llama-v3p1-70b-instruct,"ExpressVPN, NordVPN, PrivateInternetAccess, CyberGhost, TunnelBear"
deepseek-v3,"ExpressVPN,NordVPN,Surfshark,CyberGhost,IPVanish"
